Nom;Section;operations;Poids;Montant
1-VIANDE TAJINE;"1-VIANDE ROUGE  
";6;5,49;603,9
2-VIANDE HACHEE NATURE  ;"1-VIANDE ROUGE  
";CODE_COMM;--> AHMED;
48476;26/07/2024;506;CUISSE POIVRE;
48476;26/07/2024;33;EPAULE AGN;
48476;26/07/2024;3940;KHLI3.RIGIM/500KG;
48477;26/07/2024;15;EPAULE DE BF;
48478;26/07/2024;509;SUPREME;
48478;26/07/2024;501;EDAM;
48478;26/07/2024;506;CUISSE POIVRE;
48479;26/07/2024;501;EDAM;
48479;26/07/2024;516;MORTADELLE;
48480;26/07/2024;618;STEAK BROCHETTE FILET  MARINE;
48480;26/07/2024;15;EPAULE DE BF;
48481;26/07/2024;15;EPAULE DE BF;
48481;26/07/2024;33;EPAULE AGN;
48482;26/07/2024;625;POULET ENTIER;
48483;26/07/2024;4;VIANDE HACHEE;
48484;26/07/2024;55;STEAK HACHEE NATURE;
48485;26/07/2024;15;EPAULE DE BF;
48486;26/07/2024;3;SAUCISSE BF;
48486;26/07/2024;4;VIANDE HACHEE;
48487;26/07/2024;612;SHAWARMA;
48487;26/07/2024;4;VIANDE HACHEE;
48488;26/07/2024;4;VIANDE HACHEE;
48489;26/07/2024;1;VIANDE TAJINE;
48490;26/07/2024;601;FILET DE POULET NATURE;
48490;26/07/2024;4;VIANDE HACHEE;
48491;26/07/2024;33;EPAULE AGN;
48492;26/07/2024;615;SAUCIISE DE PLT;
48492;26/07/2024;601;FILET DE POULET NATURE;
48493;26/07/2024;2;VIANDE HACHEE NATURE;
48493;26/07/2024;15;EPAULE DE BF;
48494;26/07/2024;605;PILON PLT MARINEE;
48495;26/07/2024;1174;TACOS MIXTE;
48495;26/07/2024;2376;--> TACOS;
48495;26/07/2024;4360;--> ALGERIENNE;
48496;26/07/2024;1174;TACOS MIXTE;
48496;26/07/2024;2376;--> TACOS;
48496;26/07/2024;10000;--> BIGGY;
48496;26/07/2024;1174;TACOS MIXTE;
48496;26/07/2024;2376;--> TACOS;
48496;26/07/2024;10000;--> BIGGY;
48496;26/07/2024;70240;FRITE;
48496;26/07/2024;70240;FRITE;
